Ano,Outra produção bibliográfica,Trabalho em evento,Artigo publicado,Capitulo de livro,Tradução,Livro publicado,Texto em jornal ou revista,Partitura musical,Prefácio posfácio,Artigo aceito
1966,1,,,,,,,,,
1971,,2,,,,,,,,
1972,,,1,,,,,,,
1973,,2,,1,,,,,,
1974,,1,1,,,,,,,
1975,2,7,2,,3,,,,,
1976,1,3,7,,,,,,,
1977,1,16,8,,1,,,,,
1978,1,23,15,5,,1,,,,
1979,2,26,22,,,1,4,,,
1980,1,32,24,2,,1,,,,
1981,,49,28,7,,3,8,,,
1982,4,64,36,12,,2,22,,,
1983,3,72,64,18,1,5,3,,,
1984,15,98,56,2,,1,11,,,
1985,17,131,103,15,,2,15,1,,
1986,14,126,105,8,2,9,3,1,,
1987,14,238,138,15,,10,12,1,,
1988,12,257,176,17,,3,30,,,
1989,22,383,219,18,2,6,29,,1,
1990,34,390,200,19,2,7,45,1,2,
1991,30,459,273,48,1,7,46,,,
1992,44,720,394,41,,14,72,,,
1993,60,788,434,76,4,16,56,1,3,
1994,66,993,558,105,13,25,160,2,1,
1995,98,1303,721,59,3,27,220,1,2,
1996,92,1730,790,90,10,32,211,,1,
1997,150,1996,1029,157,12,56,221,4,1,
1998,119,2500,1047,244,9,69,215,,7,
1999,175,2995,1246,234,19,95,231,5,13,
2000,310,3317,1389,317,32,103,314,2,11,
2001,290,3607,1579,348,32,110,312,4,19,
2002,304,4277,1812,408,46,136,287,6,23,
2003,279,4554,1970,452,29,119,358,11,45,
2004,340,4948,2104,449,31,148,429,10,27,
2005,308,5830,2348,601,40,174,362,8,34,
2006,365,6118,2537,723,55,211,388,7,69,2
2007,367,7270,2806,739,89,215,453,8,70,6
2008,495,6896,3154,1009,81,279,458,9,83,12
2009,426,7316,3508,1146,95,346,438,9,72,9
2010,459,7129,3706,1111,61,308,388,8,89,8
2011,417,7835,4086,1182,78,346,486,8,86,13
2012,430,7364,4501,1332,73,456,433,4,127,24
2013,428,7040,4738,1300,60,406,380,13,98,25
2014,480,6813,4705,1520,55,387,412,15,112,26
2015,343,6360,4933,1377,59,433,333,17,138,30
2016,351,6234,5043,1464,55,477,362,9,141,37
2017,358,6248,5265,1443,45,417,431,12,131,51
2018,320,6091,5397,1650,52,517,333,11,161,68
2019,333,5473,5441,1727,45,489,358,7,171,76
2020,462,2935,6215,1669,71,572,537,9,169,98
2021,327,3868,6243,1826,58,617,382,6,148,217
2022,181,1781,4518,1182,25,340,186,3,88,721
2023,383,4489,5279,1499,58,482,382,6,138,83
2024,196,4053,5149,1283,38,480,317,7,135,408